工步,模式編號,模式工步編號,模式,功率(W),工步編號,循環,迴圈,測試時間,執行時間(毫秒),實際開始時間,實際時間(毫秒),工步種類,電壓(V),電流(A),電量(Ah),能量(KWh),ACR(mOhm),DCIR,總電量(Ah),子工步編號,子迴圈,子循環,子工步種類,狀態,迴圈3,迴圈4,工步執行時間(時:分:秒 毫秒),充電電量(Ah),放電電量(Ah),總能量(KWh),LC電流(mA),Remark,描述,溫度1(℃),溫度2(℃),溫度3(℃),溫度4(℃),溫度5(℃),溫度6(℃),溫度7(℃),溫度8(℃),Voltage(mV)_R1,Current(mA)_R1,RemainingCapacity(mAH)_R1,FullChargeCapacity(mAH)_R1,CycleCount_R1,SOH(%)_R1,RSOC(%)_R1,CHG_R1,DSG_R1,PDSG_R1,HCFET_R1,CB_R1,GPIOB_R1,CUV_R1,COV_R1,OCC_R1,OCD_R1,AOLD_R1,AOLDL_R1,ASCD_R1,ASCDL_R1,OTC_R1,OTD_R1,UTC_R1,UTD_R1,LED_ERROR0_R1,PT_CTL01_R1,PT_CTL2_R1,CellVoltage1(mV)_R2,CellVoltage2(mV)_R2,CellVoltage3(mV)_R2,CellVoltage4(mV)_R2,CellVoltage5(mV)_R2,CellVoltage6(mV)_R2,CellVoltage7(mV)_R2,CellVoltage8(mV)_R2,CellVoltage9(mV)_R2,CellVoltage10(mV)_R2,CellVoltage11(mV)_R2,CellVoltage12(mV)_R2,CellVoltage13(mV)_R2,CellVoltage14(mV)_R2,CellVoltage15(mV)_R2,CellVoltage16(mV)_R2,TS1(C)_R2,TS2(C)_R2,TS3(C)_R2,TS4(C)_R2,TS5(C)_R2,TS6(C)_R2,OFSSET0<2000_R3,OFSSET1<2200_R3,OFSSET2<2400_R3,OFSSET3<2600_R3,OFSSET4<2800_R3,OFSSET5<3000_R3,OFSSET6<3200_R3,OFSSET7<3400_R3,OFSSET8<3600_R3,OFSSET9<3800_R3,ORG_CELL16_R3,FIX_CELL16_R3,TS7(C)_R4,MaxError_R4,PendingEDV_R4,ExtAveCellVoltage(mV)_R4,BatteryStatus_R4,OperationStatus0_R4,OperationStatus1_R4,SafetyStatus0_R4,SafetyStatus1_R4,GaugingStatus_R4,GS_EDV2_R4,GS_EDV1_R4,GS_EDV0_R4,GS_TC_R4,GS_TD_R4,GS_FC_R4,GS_FD_R4,GS_BALOK_R4,GS_DSG_R4,GS_CF_R4,GS_REST_R4,GS_OCVFR_R4,GS_FCCX_R4,GS_VDQ_R4,Serial_Number1_R5,Serial_Number2_R5,Serial_Number3_R5,Manufacturer_Name1_R5,Manufacturer_Name2_R5,Manufacturer_Name3_R5,Manufacture_Date_R6,BMS_Serial_Number_R6,Device_Chemistry_R6,BMS_FW_VER1_R6,BMS_FW_VER2_R6,BMS_FW_DATE_R6,EDV0_R7,EDV1_R7,EDV2_R7,HV1,HV2,HV3,HV4,HV5,HV6,HV7,HV8,HV9,HV10,HV11,HV12,HV13,HV14,HV15,HV16,HV17,HT1,HT2,HT3,HT4,HT5,HT6,HT7,HT8,HT9,HT10,HT11,HT12,HT13
1,0,1,1,197.7385,1,1,1,2025-03-07 08:52:17.365,30000,2025-03-07 08:52:17.465,30100,CC-CV Charge,54.501,3.6282,0.0799,0.0044,0,0,0.0799,0,0,0,REST,CV_Charge,1,1,00:00:30 000,0.0799,0,0.0044,0,,,0,0,0,0,0,0,0,0,54420,3620,22310,45000,0,100,50,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3397,3399,3399,3400,3398,3400,3399,3400,3398,3402,3399,3399,3399,3399,3406,3420,23,23,22,21,21,21,14,16,17,15,17,15,20,23,23,27,3397,3420,-273,100,0,3401,128,263,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16SR3050,B0024122,0,NEOTEC,,,20250306,0x0001,LFP,V1.06c3,,20241227,3008,3054,3045,-0.0025,-0.0015,-0.001,-0.0065,-0.0075,-0.0095,-0.007,0,0.0015,0.022,0.0195,-0.0115,-0.015,0,0.012,0.01,-0.0015,22,22,22,22,22,22.1,22,22.1,21.9,21.9,21.9,21.9,21.9
1,0,1,1,177.6055,1,1,1,2025-03-07 08:52:20.365,33000,2025-03-07 08:52:20.465,33100,CC-CV Charge,54.5002,3.2588,0.0828,0.0045,0,0,0.0828,0,0,0,REST,CV_Charge,1,1,00:00:33 000,0.0828,0,0.0045,0,,,0,0,0,0,0,0,0,0,54411,3360,22310,45000,0,100,50,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3397,3399,3399,3400,3398,3400,3400,3400,3399,3402,3399,3398,3399,3399,3398,3422,23,23,22,22,22,21,14,16,17,15,17,15,20,23,23,27,3399,3422,-273,100,0,3401,128,263,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16SR3050,B0024122,0,NEOTEC,,,20250306,0x0001,LFP,V1.06c3,,20241227,3008,3054,3045,0.0115,0.016,0.009,0,-0.0005,-0.0015,-0.002,0.004,0.007,0.013,-0.004,-0.0175,-0.0115,0.005,0.02,-0.034,-0.003,22,22,22,22,22,22,22,22,22,22,21.8,21.9,21.9
1,0,1,1,168.6418,1,1,1,2025-03-07 08:52:23.365,36000,2025-03-07 08:52:23.465,36100,CC-CV Charge,54.5008,3.0943,0.0854,0.0047,0,0,0.0854,0,0,0,REST,CV_Charge,1,1,00:00:36 000,0.0854,0,0.0047,0,,,0,0,0,0,0,0,0,0,54423,3170,22320,45000,0,100,50,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3397,3399,3399,3400,3398,3400,3400,3400,3399,3402,3399,3398,3400,3399,3408,3423,23,23,22,22,22,21,14,16,17,15,17,15,20,23,23,27,3400,3423,-273,100,0,3401,128,263,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16SR3050,B0024122,0,NEOTEC,,,20250306,0x0001,LFP,V1.06c3,,20241227,3008,3054,3045,-0.014,-0.0185,-0.0105,-0.009,-0.0085,-0.0115,-0.007,-0.0045,-0.0065,0.0165,0.0275,-0.001,-0.0115,-0.008,-0.002,0.0435,-0.0035,22.1,22,22,22,22,22,22.1,22,21.9,22,21.8,21.9,22
1,0,1,1,158.0191,1,1,1,2025-03-07 08:52:24.915,37550,2025-03-07 08:52:25.015,37650,CC-CV Charge,54.5021,2.8993,0.0866,0.0047,0,0,0.0866,0,0,0,REST,StepFinishByCut_I_Low,1,1,00:00:37 550,0.0866,0,0.0047,0,,,0,0,0,0,0,0,0,0,54425,2920,22320,45000,0,100,50,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3397,3400,3399,3401,3398,3400,3400,3400,3399,3403,3399,3399,3400,3399,3409,3425,23,23,22,22,22,21,14,16,17,15,17,15,20,23,23,27,3402,3425,-273,100,0,3405,128,263,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16SR3050,B0024122,0,NEOTEC,,,20250306,0x0001,LFP,V1.06c3,,20241227,3008,3054,3045,-0.015,-0.02,-0.0115,-0.0025,-0.001,0,0.0005,-0.005,-0.008,-0.013,0.002,0.014,0.0065,-0.0105,-0.026,0.0355,-0.002,22,22.1,22,22,22,22,22.1,22.1,22,21.9,21.9,21.9,22
2,0,2,0,0,2,1,1,2025-03-07 08:52:25.055,37690,2025-03-07 08:52:25.185,37820,REST,54.3981,0,0,0,0,0,0.0866,0,0,0,REST,Rest,1,1,00:00:00 140,0.0866,0,0.0047,0,,,0,0,0,0,0,0,0,0,54425,2920,22320,45000,0,100,50,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3397,3400,3399,3401,3398,3400,3400,3400,3399,3403,3399,3399,3400,3399,3409,3425,23,23,22,22,22,21,14,16,17,15,17,15,20,23,23,27,3402,3425,-273,100,0,3405,128,263,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16SR3050,B0024122,0,NEOTEC,,,20250306,0x0001,LFP,V1.06c3,,20241227,3008,3054,3045,-0.0145,-0.0195,-0.012,-0.0025,-0.001,0,0.0005,-0.0045,-0.0085,-0.0135,0.0025,0.014,0.0065,-0.0105,-0.025,0.0345,-0.004,22,22,22,22.1,22,22.1,22.2,22.1,22,21.9,21.9,21.9,21.9
2,0,2,1,0,2,1,1,2025-03-07 08:52:27.935,40570,2025-03-07 08:52:28.065,40700,REST,54.3411,0,0,0,0,0,0.0866,0,0,0,REST,Rest,1,1,00:00:03 020,0.0866,0,0.0047,0,,,0,0,0,0,0,0,0,0,54316,0,22320,45000,0,100,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3393,3393,3392,3394,3392,3393,3393,3393,3392,3395,3393,3391,3393,3393,3391,3426,23,23,22,22,22,21,14,16,17,15,17,15,20,23,23,27,3404,3427,-273,100,0,3397,128,263,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16SR3050,B0024122,0,NEOTEC,,,20250306,0x0001,LFP,V1.06c3,,20241227,3008,3054,3045,0.0075,0.0095,0.003,0.0065,0.0065,0.0105,0.0055,0.002,0.0015,-0.0235,-0.0295,0.0035,0.0115,-0.0025,-0.0125,-0.0305,-0.0005,22,22,22,22,22,22,22.1,22.1,21.9,21.9,21.9,21.9,21.9
2,0,2,1,0,2,1,1,2025-03-07 08:52:30.935,43570,2025-03-07 08:52:31.065,43700,REST,54.3019,0,0,0,0,0,0.0866,0,0,0,REST,Rest,1,1,00:00:06 020,0.0866,0,0.0047,0,,,0,0,0,0,0,0,0,0,54296,0,22320,45000,0,100,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3389,3390,3389,3391,3389,3390,3391,3390,3389,3392,3391,3389,3390,3390,3389,3426,23,23,22,22,22,21,14,16,17,15,17,15,20,23,23,27,3403,3426,-273,100,0,3392,128,263,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16SR3050,B0024122,0,NEOTEC,,,20250306,0x0001,LFP,V1.06c3,,20241227,3008,3054,3045,0,0.001,0.001,-0.0055,-0.0065,-0.009,-0.0065,0.0005,0.0025,0.0215,0.0145,-0.014,-0.016,0.003,0.015,0.0015,-0.003,22,22,22,22.1,22,22.1,22.1,22,21.9,21.9,21.9,21.9,21.9
2,0,2,1,0,2,1,1,2025-03-07 08:52:33.935,46570,2025-03-07 08:52:34.065,46700,REST,54.27,0,0,0,0,0,0.0866,0,0,0,REST,Rest,1,1,00:00:09 020,0.0866,0,0.0047,0,,,0,0,0,0,0,0,0,0,54255,0,22320,45000,0,100,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3388,3389,3388,3390,3388,3389,3390,3390,3387,3392,3390,3387,3389,3389,3388,3425,23,23,22,22,22,21,14,16,17,15,17,15,20,23,23,27,3403,3426,-273,100,0,3392,128,263,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16SR3050,B0024122,0,NEOTEC,,,20250306,0x0001,LFP,V1.06c3,,20241227,3008,3054,3045,0.0105,0.013,0.006,0.007,0.0065,0.0095,0.0055,0.003,0.0035,-0.0225,-0.031,0.0005,0.009,-0.0005,-0.0075,-0.037,-0.0015,22,22,22,22,22,21.9,22.1,22.2,22,21.9,21.9,21.8,21.9
2,0,2,1,0,2,1,1,2025-03-07 08:52:36.935,49570,2025-03-07 08:52:37.065,49700,REST,54.2445,0,0,0,0,0,0.0866,0,0,0,REST,Rest,1,1,00:00:12 020,0.0866,0,0.0047,0,,,0,0,0,0,0,0,0,0,54225,0,22320,45000,0,100,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3386,3387,3383,3388,3386,3388,3388,3387,3383,3389,3388,3383,3387,3387,3386,3425,23,23,22,22,22,21,14,16,17,15,17,15,20,23,23,27,3402,3425,-273,100,0,3388,128,263,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16SR3050,B0024122,0,NEOTEC,,,20250306,0x0001,LFP,V1.06c3,,20241227,3008,3054,3045,-0.0065,-0.008,-0.0035,-0.0075,-0.009,-0.011,-0.0075,-0.0015,-0.001,0.0225,0.024,-0.009,-0.017,-0.0025,0.0105,0.021,-0.0025,22,22,22.1,22,22,22,22.2,22.1,22,22,21.9,21.9,21.9
2,0,2,1,0,2,1,1,2025-03-07 08:52:39.935,52570,2025-03-07 08:52:40.065,52700,REST,54.2235,0,0,0,0,0,0.0866,0,0,0,REST,Rest,1,1,00:00:15 020,0.0866,0,0.0047,0,,,0,0,0,0,0,0,0,0,54191,0,22320,45000,0,100,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3383,3384,3383,3385,3383,3385,3384,3385,3383,3386,3384,3383,3384,3384,3383,3421,23,23,22,22,22,21,14,16,17,15,17,15,20,23,23,27,3398,3421,-273,100,0,3388,192,263,0,0,0,64,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16SR3050,B0024122,0,NEOTEC,,,20250306,0x0001,LFP,V1.06c3,,20241227,3008,3054,3045,0.015,0.0205,0.01,0.0065,0.006,0.0095,0.005,0.0065,0.01,-0.011,-0.028,-0.0065,0.0035,0.003,0.002,-0.053,-0.001,22.1,22,22,22,22.1,22,22.1,22.1,22.1,22,21.9,21.9,21.9
