* Texas Instruments Data Flash File
* File created Tue Jul 30 11:02:05 2024
*
* Device Number 1E9B
* Firmware Version 3.00
* Build Number 31
* Order Number 0
*
* bqz Device Number 1E9B
* bqz Firmware Version 3.00
* bqz Build Number 31
*
* Field Order: Class name, Subclass name, Parameter name, Parameter Value, Display Units
"Calibration","Fet Temperature Model","Rint","18000","-"
"Calibration","Current Deadband","Deadband","40","mA"
"Calibration","Current Deadband","Coulomb Counter Deadband","4","264nV"
"Settings","Protection","Protection Configuration","00","hex"
"Settings","Protection","Enabled Protections A","ff","hex"
"Settings","Protection","Enabled Protections B","0f","hex"
"Settings","Protection","Enabled Protections C","00","hex"
"Settings","Protection","Enabled Removal Recovery A","00","hex"
"Settings","Protection","Enabled Removal Recovery B","00","hex"
"Settings","Permanent Failure","Enabled PF A","00","hex"
"Settings","Permanent Failure","Enabled PF B","00","hex"
"Settings","Configuration","Temperature Enable","0f","hex"
"Settings","Configuration","Temperature Mode","00","hex"
"Settings","Configuration","DA Configuration","13","hex"
"Settings","Configuration","AFE Cell Map","7fff","hex"
"Settings","Configuration","FET Options","0c44","hex"
"Settings","Configuration","Sbs Gauging Configuration","02","hex"
"Settings","Configuration","Smb Configuration","a0","hex"
"Settings","Configuration","Power Config","00","hex"
"Settings","Configuration","LED Configuration","00","hex"
"Settings","Configuration","SOC Flag Config","12fb","hex"
"Settings","Configuration","Balancing Configuration","03","hex"
"Settings","Configuration","CEDV Gauging Configuration","00b6","hex"
"Settings","Fuse","PF SAFE A","00","hex"
"Settings","Fuse","PF SAFE B","00","hex"
"Settings","Fuse","PF SAFE C","00","hex"
"Settings","Fuse","Fuse Blow Timeout","30","s"
"Settings","Aux SMB Address","Addr Reads","3","-"
"Settings","Aux SMB Address","SMBTAR_ADDR0","20","hex"
"Settings","Aux SMB Address","SMBTAR_ADDR1","22","hex"
"Settings","Aux SMB Address","SMBTAR_ADDR2","24","hex"
"Settings","Aux SMB Address","SMBTAR_ADDR3","25","hex"
"Settings","Aux SMB Address","SMBTAR_ADDR4","26","hex"
"Settings","Aux SMB Address","SMBTAR_ADDR5","28","hex"
"Settings","Aux SMB Address","SMBTAR_ADDR6","2a","hex"
"Settings","Aux SMB Address","SMBTAR_ADDR7","2c","hex"
"Settings","SMB Master Mode","Host Address","10","hex"
"Settings","SMB Master Mode","Charger Address","12","hex"
"Settings","SMB Master Mode","Alarm Timer","10","s"
"Settings","SMB Master Mode","Charger Request Timer","50","s"
"Settings","Manufacturing","Mfg Status init","0030","hex"
"Protections","CUV","Threshold","2300","mV"
"Protections","CUV","Delay","1","s"
"Protections","CUV","Recovery","2600","mV"
"Protections","COV","Threshold Low Temp","3650","mV"
"Protections","COV","Threshold Standard Temp","3650","mV"
"Protections","COV","Threshold High Temp","3650","mV"
"Protections","COV","Threshold Rec Temp","3650","mV"
"Protections","COV","Delay","1","s"
"Protections","COV","Recovery Low Temp","3450","mV"
"Protections","COV","Recovery Standard Temp","3450","mV"
"Protections","COV","Recovery High Temp","3450","mV"
"Protections","COV","Recovery Rec Temp","3450","mV"
"Protections","OCC","Threshold","5100","mA"
"Protections","OCC","Delay","2","s"
"Protections","OCC","Recovery Threshold","5000","mA"
"Protections","OCC","Recovery Delay","60","s"
"Protections","OCD","Threshold","-5100","mA"
"Protections","OCD","Delay","60","s"
"Protections","OCD","Recovery Threshold","-5000","mA"
"Protections","OCD","Recovery Delay","60","s"
"Protections","OCDL","Latch Limit","0","-"
"Protections","OCDL","Counter Dec Delay","60","s"
"Protections","OCDL","Reset","60","s"
"Protections","AOLD","Latch Limit","3","-"
"Protections","AOLD","Counter Dec Delay","60","s"
"Protections","AOLD","Recovery","1","s"
"Protections","AOLD","Reset","180","s"
"Protections","AOLD","Threshold and Delay","39","hex"
"Protections","ASCD","Latch Limit","3","-"
"Protections","ASCD","Counter Dec Delay","60","s"
"Protections","ASCD","Recovery","1","s"
"Protections","ASCD","Reset","180","s"
"Protections","ASCD","Threshold and Delay","83","hex"
"Protections","OTC","Threshold","70.0","1degC"
"Protections","OTC","Delay","2","s"
"Protections","OTC","Recovery","60.0","1degC"
"Protections","OTD","Threshold","70.0","1degC"
"Protections","OTD","Delay","2","s"
"Protections","OTD","Recovery","60.0","1degC"
"Protections","OTF","Threshold","70.0","1degC"
"Protections","OTF","Delay","2","s"
"Protections","OTF","Recovery","60.0","1degC"
"Protections","UTC","Threshold","-5.0","1degC"
"Protections","UTC","Delay","2","s"
"Protections","UTC","Recovery","0.0","1degC"
"Protections","UTD","Threshold","-20.0","1degC"
"Protections","UTD","Delay","2","s"
"Protections","UTD","Recovery","-10.0","1degC"
"Protections","AFE External Override","Delay","5","s"
"Protections","AFE External Override","Recovery","2","s"
"Protections","PTO","Charge Threshold","2000","mA"
"Protections","PTO","Suspend Threshold","1800","mA"
"Protections","PTO","Delay","1800","s"
"Protections","PTO","Reset","2","mAh"
"Protections","CTO","Charge Threshold","7000","mA"
"Protections","CTO","Suspend Threshold","6500","mA"
"Protections","CTO","Delay","54000","s"
"Protections","CTO","Reset","2","mAh"
"Protections","OC","Threshold","300","mAh"
"Protections","OC","Recovery","2","mAh"
"Protections","OC","RSOC Recovery","90","%"
"Permanent Fail","SOCC","Threshold","10000","mA"
"Permanent Fail","SOCC","Delay","5","s"
"Permanent Fail","SOCD","Threshold","-10000","mA"
"Permanent Fail","SOCD","Delay","5","s"
"Permanent Fail","SOT","Threshold","65.0","1degC"
"Permanent Fail","SOT","Delay","5","s"
"Permanent Fail","SOTF","Threshold","100.0","1degC"
"Permanent Fail","SOTF","Delay","5","s"
"Permanent Fail","Open Thermistor","Threshold","-50.0","1degC"
"Permanent Fail","Open Thermistor","Delay","5","s"
"Permanent Fail","VIMR","Check Voltage","3500","mV"
"Permanent Fail","VIMR","Check Current","10","mA"
"Permanent Fail","VIMR","Delta Threshold","500","mV"
"Permanent Fail","VIMR","Delta Delay","5","s"
"Permanent Fail","VIMR","Duration","100","s"
"Permanent Fail","CFET","OFF Threshold","5","mA"
"Permanent Fail","CFET","OFF Delay","5","s"
"Permanent Fail","DFET","OFF Threshold","-5","mA"
"Permanent Fail","DFET","OFF Delay","5","s"
"Permanent Fail","AFER","Threshold","100","-"
"Permanent Fail","AFER","Delay Period","2","s"
"Permanent Fail","AFER","Compare Period","5","s"
"Permanent Fail","AFEC","Threshold","100","-"
"Permanent Fail","AFEC","Delay Period","5","s"
"Permanent Fail","AFE XREADY","Threshold","100","-"
"Permanent Fail","AFE XREADY","Delay Period","5","s"
"Permanent Fail","AFE External Override","Delay","20","s"
"Permanent Fail","AFE SOV / AFE SUV","SOV and SUV Delay","50","hex"
"Permanent Fail","AFE SOV","Threshold","3850","mV"
"Permanent Fail","AFE SUV","Threshold","1750","mV"
"Advanced Charge Algorithm","Temperature Ranges","T1 Temp","-20","degC"
"Advanced Charge Algorithm","Temperature Ranges","T2 Temp","0","degC"
"Advanced Charge Algorithm","Temperature Ranges","T5 Temp","35","degC"
"Advanced Charge Algorithm","Temperature Ranges","T6 Temp","50","degC"
"Advanced Charge Algorithm","Temperature Ranges","T3 Temp","60","degC"
"Advanced Charge Algorithm","Temperature Ranges","T4 Temp","80","degC"
"Advanced Charge Algorithm","Temperature Ranges","Hysteresis Temp","5","degC"
"Advanced Charge Algorithm","Low Temp Charging","Voltage","3650","mV"
"Advanced Charge Algorithm","Low Temp Charging","Current Low","4000","mA"
"Advanced Charge Algorithm","Low Temp Charging","Current Med","4500","mA"
"Advanced Charge Algorithm","Low Temp Charging","Current High","5000","mA"
"Advanced Charge Algorithm","Standard Temp Charging","Voltage","3650","mV"
"Advanced Charge Algorithm","Standard Temp Charging","Current Low","4000","mA"
"Advanced Charge Algorithm","Standard Temp Charging","Current Med","4500","mA"
"Advanced Charge Algorithm","Standard Temp Charging","Current High","5000","mA"
"Advanced Charge Algorithm","High Temp Charging","Voltage","3650","mV"
"Advanced Charge Algorithm","High Temp Charging","Current Low","4000","mA"
"Advanced Charge Algorithm","High Temp Charging","Current Med","4500","mA"
"Advanced Charge Algorithm","High Temp Charging","Current High","5000","mA"
"Advanced Charge Algorithm","Rec Temp Charging","Voltage","3650","mV"
"Advanced Charge Algorithm","Rec Temp Charging","Current Low","4000","mA"
"Advanced Charge Algorithm","Rec Temp Charging","Current Med","4500","mA"
"Advanced Charge Algorithm","Rec Temp Charging","Current High","5000","mA"
"Advanced Charge Algorithm","Pre-Charging","Current","600","mA"
"Advanced Charge Algorithm","Maintenance Charging","Current","100","mA"
"Advanced Charge Algorithm","Voltage Range","Precharge Start Voltage","500","mV"
"Advanced Charge Algorithm","Voltage Range","Charging Voltage Low","3450","mV"
"Advanced Charge Algorithm","Voltage Range","Charging Voltage Med","3550","mV"
"Advanced Charge Algorithm","Voltage Range","Charging Voltage High","3650","mV"
"Advanced Charge Algorithm","Voltage Range","Charging Voltage Hysteresis","100","mV"
"Advanced Charge Algorithm","Termination Config","Charge Term Taper Current","100","mA"
"Advanced Charge Algorithm","Termination Config","Charge Term Voltage","100","mV"
"Advanced Charge Algorithm","Cell Balancing Config","Cell Balance Threshold","3300","mV"
"Advanced Charge Algorithm","Cell Balancing Config","Cell Balance Window","50","mV"
"Advanced Charge Algorithm","Cell Balancing Config","Cell Balance Min","10","mV"
"Advanced Charge Algorithm","Cell Balancing Config","Cell Balance Interval","20","s"
"Fuel Gauging","Current Thresholds","Dsg Current Threshold","100","mA"
"Fuel Gauging","Current Thresholds","Chg Current Threshold","100","mA"
"Fuel Gauging","Current Thresholds","Quit Current","80","mA"
"Fuel Gauging","Current Thresholds","Dsg Relax Time","10","s"
"Fuel Gauging","Current Thresholds","Chg Relax Time","10","s"
"Fuel Gauging","Design","Design Capacity mAh","10000","mAh"
"Fuel Gauging","Design","Design Capacity cWh","5280","cWh"
"Fuel Gauging","Design","Design Voltage","3300","mV"
"Fuel Gauging","Cycle","Cycle Count Percentage","90","%"
"Fuel Gauging","FD","Set % RSOC Threshold","0","%"
"Fuel Gauging","FD","Clear % RSOC Threshold","5","%"
"Fuel Gauging","FC","Set % RSOC Threshold","100","%"
"Fuel Gauging","FC","Clear % RSOC Threshold","95","%"
"Fuel Gauging","TD","Set % RSOC Threshold","6","%"
"Fuel Gauging","TD","Clear % RSOC Threshold","8","%"
"Fuel Gauging","TC","Set % RSOC Threshold","100","%"
"Fuel Gauging","TC","Clear % RSOC Threshold","95","%"
"Fuel Gauging","State","Cycle Count","10","-"
"Fuel Gauging","State","Learned Full Charge Capacity","9628","mAh"
"Fuel Gauging","State","Dod at EDV2","15200","-"
"Fuel Gauging","CEDV cfg","EMF","3578","-"
"Fuel Gauging","CEDV cfg","C0","609","-"
"Fuel Gauging","CEDV cfg","R0","29","-"
"Fuel Gauging","CEDV cfg","T0","4274","-"
"Fuel Gauging","CEDV cfg","R1","1","-"
"Fuel Gauging","CEDV cfg","TC","11","-"
"Fuel Gauging","CEDV cfg","C1","0","-"
"Fuel Gauging","CEDV cfg","Age Factor","18","-"
"Fuel Gauging","CEDV cfg","Fixed EDV 0","2923","-"
"Fuel Gauging","CEDV cfg","EDV 0 Hold Time","1","s"
"Fuel Gauging","CEDV cfg","Fixed EDV 1","3082","-"
"Fuel Gauging","CEDV cfg","EDV 1 Hold Time","1","s"
"Fuel Gauging","CEDV cfg","Fixed EDV 2","3128","-"
"Fuel Gauging","CEDV cfg","EDV 2 Hold Time","1","s"
"Fuel Gauging","CEDV cfg","Battery Low %","7.00","%"
"Fuel Gauging","CEDV cfg","Min Delta V Filter","10","mV"
"Fuel Gauging","CEDV cfg","FCC Learn Up","1000","mAh"
"Fuel Gauging","CEDV cfg","FCC Learn Down","1000","mAh"
"Fuel Gauging","CEDV cfg","Learning Low Temp","-100","0.1degC"
"Fuel Gauging","CEDV cfg","Requested Learning cycle count","1","num"
"Fuel Gauging","CEDV cfg","OverLoad Current","5100","mA"
"Fuel Gauging","CEDV cfg","Self Discharge Rate","20","0.01%/day"
"Fuel Gauging","CEDV cfg","Electronics Load","0","3uA"
"Fuel Gauging","CEDV cfg","Near Full","1000","mAh"
"Fuel Gauging","CEDV cfg","Reserve Capacity","0","mAh"
"Fuel Gauging","CEDV cfg","RemCap Init Percent","100","%"
"Power","Power","Valid Update Voltage","3500","mV"
"Power","Shutdown","Shutdown Voltage","1750","mV"
"Power","Shutdown","Shutdown Time","10","s"
"Power","Shutdown","PF Shutdown Voltage","1750","mV"
"Power","Shutdown","PF Shutdown Time","10","s"
"Power","Shutdown","Charger Present Threshold","3000","mV"
"Power","Sleep","Sleep Current","10","mA"
"Power","Sleep","Bus Timeout","5","s"
"Power","Sleep","Voltage Time","5","s"
"Power","Sleep","Current Time","20","s"
"Power","Ship","FET Off Time","20","s"
"Power","Ship","Delay","20","s"
"Power","Ship","Auto Ship Time","1440","min"
"Power","KEYIN","Time","2","s"
"Power","Pre-Discharge","FET ON Time","5","s"
"PF Status","Device Status Data","Safety Alert A","00","hex"
"PF Status","Device Status Data","Safety Status A","00","hex"
"PF Status","Device Status Data","Safety Alert B","00","hex"
"PF Status","Device Status Data","Safety Status B","00","hex"
"PF Status","Device Status Data","Safety Alert C","00","hex"
"PF Status","Device Status Data","Safety Status C","00","hex"
"PF Status","Device Status Data","PF Alert A","00","hex"
"PF Status","Device Status Data","PF Status A","00","hex"
"PF Status","Device Status Data","PF Alert B","00","hex"
"PF Status","Device Status Data","PF Status B","00","hex"
"PF Status","Device Status Data","PF Alert C","00","hex"
"PF Status","Device Status Data","PF Status C","00","hex"
"PF Status","Device Status Data","Fuse Flag","0000","hex"
"PF Status","Device Status Data","Operation Status A","0000","hex"
"PF Status","Device Status Data","Operation Status B","0000","hex"
"PF Status","Device Status Data","Temp Range","00","hex"
"PF Status","Device Status Data","Charging Status","00","hex"
"PF Status","Device Status Data","Gauging Status","00","hex"
"PF Status","Device Status Data","CEDV Status","00","hex"
"PF Status","Device Voltage Data","Cell 1 Voltage","0","mV"
"PF Status","Device Voltage Data","Cell 2 Voltage","0","mV"
"PF Status","Device Voltage Data","Cell 3 Voltage","0","mV"
"PF Status","Device Voltage Data","Cell 4 Voltage","0","mV"
"PF Status","Device Voltage Data","Cell 5 Voltage","0","mV"
"PF Status","Device Voltage Data","Cell 6 Voltage","0","mV"
"PF Status","Device Voltage Data","Cell 7 Voltage","0","mV"
"PF Status","Device Voltage Data","Cell 8 Voltage","0","mV"
"PF Status","Device Voltage Data","Cell 9 Voltage","0","mV"
"PF Status","Device Voltage Data","Cell 10 Voltage","0","mV"
"PF Status","Device Voltage Data","Cell 11 Voltage","0","mV"
"PF Status","Device Voltage Data","Cell 12 Voltage","0","mV"
"PF Status","Device Voltage Data","Cell 13 Voltage","0","mV"
"PF Status","Device Voltage Data","Cell 14 Voltage","0","mV"
"PF Status","Device Voltage Data","Cell 15 Voltage","0","mV"
"PF Status","Device Voltage Data","Battery Direct Voltage","0","mV"
"PF Status","Device Current Data","Current","0","mA"
"PF Status","Device Temperature Data","TS1 Temperature","0.0","degC"
"PF Status","Device Temperature Data","TS2 Temperature","0.0","degC"
"PF Status","Device Temperature Data","TS3 Temperature","0.0","degC"
"PF Status","Device Temperature Data","Gauge Internal Temperature","0.0","degC"
"PF Status","AFE Regs","AFE SYS Stat","00","hex"
"PF Status","AFE Regs","AFE Cell Balance1","00","hex"
"PF Status","AFE Regs","AFE Cell Balance2","00","hex"
"PF Status","AFE Regs","AFE Cell Balance3","00","hex"
"PF Status","AFE Regs","AFE Sys Control1","00","hex"
"PF Status","AFE Regs","AFE Sys Control2","00","hex"
"PF Status","AFE Regs","AFE Protection1","00","hex"
"PF Status","AFE Regs","AFE Protection2","00","hex"
"PF Status","AFE Regs","AFE Protection3","00","hex"
"PF Status","AFE Regs","AFE OV Trip","00","hex"
"PF Status","AFE Regs","AFE UV Trip","00","hex"
"Black Box","Safety Status","1st Status Status A","00","hex"
"Black Box","Safety Status","1st Status Status B","00","hex"
"Black Box","Safety Status","1st Safety Status C","00","hex"
"Black Box","Safety Status","1st Time to Next Event","0","s"
"Black Box","Safety Status","2nd Status Status A","00","hex"
"Black Box","Safety Status","2nd Status Status B","00","hex"
"Black Box","Safety Status","2nd Safety Status C","00","hex"
"Black Box","Safety Status","2nd Time to Next Event","0","s"
"Black Box","Safety Status","3rd Status Status A","00","hex"
"Black Box","Safety Status","3rd Status Status B","00","hex"
"Black Box","Safety Status","3rd Safety Status C","00","hex"
"Black Box","Safety Status","3rd Time to Next Event","0","s"
"Black Box","PF Status","1st PF Status A","00","hex"
"Black Box","PF Status","1st PF Status B","00","hex"
"Black Box","PF Status","1st PF Status C","00","hex"
"Black Box","PF Status","1st Time to Next Event","0","s"
"Black Box","PF Status","2nd PF Status A","00","hex"
"Black Box","PF Status","2nd PF Status B","00","hex"
"Black Box","PF Status","2nd PF Status C","00","hex"
"Black Box","PF Status","2nd Time to Next Event","0","s"
"Black Box","PF Status","3rd PF Status A","00","hex"
"Black Box","PF Status","3rd PF Status B","00","hex"
"Black Box","PF Status","3rd PF Status C","00","hex"
"Black Box","PF Status","3rd Time to Next Event","0","s"
"System Data","Manufacturer Data","Manufacturer Info A Length","32","-"
"System Data","Manufacturer Data","Manufacturer Info Block A01","61","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A02","62","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A03","63","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A04","64","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A05","65","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A06","66","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A07","67","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A08","68","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A09","69","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A10","6a","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A11","6b","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A12","6c","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A13","6d","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A14","6e","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A15","6f","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A16","70","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A17","71","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A18","72","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A19","73","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A20","74","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A21","75","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A22","76","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A23","77","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A24","7a","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A25","78","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A26","79","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A27","30","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A28","31","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A29","32","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A30","33","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A31","34","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A32","35","Hex"
"SBS Configuration","Data","Remaining AH Cap. Alarm","0","mAh"
"SBS Configuration","Data","Remaining WH Cap. Alarm","0","cWh"
"SBS Configuration","Data","Remaining Time Alarm","0","min"
"SBS Configuration","Data","Initial Battery Mode","6001","hex"
"SBS Configuration","Data","Specification Information","1100","hex"
"SBS Configuration","Data","Manufacture Date","2024-6-3","date"
"SBS Configuration","Data","Serial Number","0003","hex"
"SBS Configuration","Data","Manufacturer Name","NEOTEC","-"
"SBS Configuration","Data","Device Name","BF-C4361106207P","-"
"SBS Configuration","Data","Device Chemistry","LFP","-"
"LED Support","LED Config","LED Flash Period","512","488us"
"LED Support","LED Config","LED Blink Period","1024","488us"
"LED Support","LED Config","LED Delay","100","488us"
"LED Support","LED Config","LED Hold Time","4","s"
"LED Support","LED Config","LED Flash Alarm","10","%"
"LED Support","LED Config","LED Thresh 1","0","%"
"LED Support","LED Config","LED Thresh 2","20","%"
"LED Support","LED Config","LED Thresh 3","40","%"
"LED Support","LED Config","LED Thresh 4","60","%"
"LED Support","LED Config","LED Thresh 5","80","%"
"LED Support","LED Config","LCD Refresh Rate","35","Hz"
"Lifetimes","Voltage","Cell 1 Max Voltage","3467","mV"
"Lifetimes","Voltage","Cell 2 Max Voltage","3519","mV"
"Lifetimes","Voltage","Cell 3 Max Voltage","3419","mV"
"Lifetimes","Voltage","Cell 4 Max Voltage","3500","mV"
"Lifetimes","Voltage","Cell 5 Max Voltage","3424","mV"
"Lifetimes","Voltage","Cell 6 Max Voltage","3416","mV"
"Lifetimes","Voltage","Cell 7 Max Voltage","3409","mV"
"Lifetimes","Voltage","Cell 8 Max Voltage","3418","mV"
"Lifetimes","Voltage","Cell 9 Max Voltage","3408","mV"
"Lifetimes","Voltage","Cell 10 Max Voltage","3418","mV"
"Lifetimes","Voltage","Cell 11 Max Voltage","3413","mV"
"Lifetimes","Voltage","Cell 12 Max Voltage","3418","mV"
"Lifetimes","Voltage","Cell 13 Max Voltage","3522","mV"
"Lifetimes","Voltage","Cell 14 Max Voltage","3542","mV"
"Lifetimes","Voltage","Cell 15 Max Voltage","3573","mV"
"Lifetimes","Voltage","Cell 1 Min Voltage","2939","mV"
"Lifetimes","Voltage","Cell 2 Min Voltage","2896","mV"
"Lifetimes","Voltage","Cell 3 Min Voltage","2916","mV"
"Lifetimes","Voltage","Cell 4 Min Voltage","2892","mV"
"Lifetimes","Voltage","Cell 5 Min Voltage","2934","mV"
"Lifetimes","Voltage","Cell 6 Min Voltage","2923","mV"
"Lifetimes","Voltage","Cell 7 Min Voltage","2943","mV"
"Lifetimes","Voltage","Cell 8 Min Voltage","2909","mV"
"Lifetimes","Voltage","Cell 9 Min Voltage","2932","mV"
"Lifetimes","Voltage","Cell 10 Min Voltage","2917","mV"
"Lifetimes","Voltage","Cell 11 Min Voltage","2924","mV"
"Lifetimes","Voltage","Cell 12 Min Voltage","2933","mV"
"Lifetimes","Voltage","Cell 13 Min Voltage","2933","mV"
"Lifetimes","Voltage","Cell 14 Min Voltage","2909","mV"
"Lifetimes","Voltage","Cell 15 Min Voltage","2939","mV"
"Lifetimes","Voltage","Max Delta Cell Voltage","206","mV"
"Lifetimes","Current","Max Charge Current","5013","mA"
"Lifetimes","Current","Max Discharge Current","-5393","mA"
"Lifetimes","Current","Max Avg Dsg Current","-5043","mA"
"Lifetimes","Current","Max Avg Dsg Power","-2472","cW"
"Lifetimes","Temperature","Max Temp Cell","46","degC"
"Lifetimes","Temperature","Min Temp Cell","25","degC"
"Lifetimes","Temperature","Max Delta Cell Temp","1","degC"
"Lifetimes","Temperature","Max Temp Fet","-128","degC"
"Lifetimes","Gauge Temperature","Max Temp Int Sensor","51","degC"
"Lifetimes","Gauge Temperature","Min Temp Int Sensor","25","degC"
"Lifetimes","Safety Events","No Of COV Events","0","events"
"Lifetimes","Safety Events","Last COV Event","0","cycles"
"Lifetimes","Safety Events","No Of CUV Events","0","events"
"Lifetimes","Safety Events","Last CUV Event","0","cycles"
"Lifetimes","Safety Events","No Of OCD Events","0","events"
"Lifetimes","Safety Events","Last OCD Event","0","cycles"
"Lifetimes","Safety Events","No Of OCC Events","0","events"
"Lifetimes","Safety Events","Last OCC Event","0","cycles"
"Lifetimes","Safety Events","No Of AOLD Events","0","events"
"Lifetimes","Safety Events","Last AOLD Event","0","cycles"
"Lifetimes","Safety Events","No Of ASCD Events","0","events"
"Lifetimes","Safety Events","Last ASCD Event","0","cycles"
"Lifetimes","Safety Events","No Of OTC Events","0","events"
"Lifetimes","Safety Events","Last OTC Event","0","cycles"
"Lifetimes","Safety Events","No Of OTD Events","0","events"
"Lifetimes","Safety Events","Last OTD Event","0","cycles"
"Lifetimes","Safety Events","No Of OTF Events","0","events"
"Lifetimes","Safety Events","Last OTF Event","0","cycles"
"Lifetimes","Charging Events","No Valid Charge Term","0","events"
"Lifetimes","Charging Events","Last Valid Charge Term","0","cycles"
"Lifetimes","Gauging Events","No of FCC Updates","1","events"
"Lifetimes","Gauging Events","Last FCC Update","10","cycles"
"Lifetimes","Power Events","No Of Shutdowns","0","events"
"Lifetimes","Cell Balancing","Cb Time Cell 1","4","h"
"Lifetimes","Cell Balancing","Cb Time Cell 2","8","h"
"Lifetimes","Cell Balancing","Cb Time Cell 3","2","h"
"Lifetimes","Cell Balancing","Cb Time Cell 4","10","h"
"Lifetimes","Cell Balancing","Cb Time Cell 5","2","h"
"Lifetimes","Cell Balancing","Cb Time Cell 6","4","h"
